"id","displayName","platform","rule"
"c77b2623-4631-4665-8d53-0f5cec8739e9","Android - deviceManagementType - Android Enterprise or AOSP user","androidMobileApplicationManagement","(app.deviceManagementType -eq ""Android Enterprise"") or (app.deviceManagementType -eq ""AOSP user-associated devices"")"
"07ab9146-6ab2-4b06-9e24-62e01b311ba8","Android - deviceManagementType - Unmanaged","androidMobileApplicationManagement","(app.deviceManagementType -eq ""Unmanaged"")"
"b9e7927e-06f3-40eb-bf3e-0825ca81a886","Android - enrollmentProfileName - AOSP - Teams","androidAOSP","(device.enrollmentProfileName -eq ""Android - AOSP - Teams"")"
"678b2e2d-358a-4690-a518-a6513b1846d3","Filter Demo","windows10AndLater","device.osVersion -eq ""10.0.19041.1"""
"cc6c90fd-f820-43c9-8132-9dd9a1a272a0","Win - AVD-Pooled - Multi-Session Hosts only","windows10AndLater","(device.deviceName -startsWith ""TS-"") and (device.operatingSystemSKU -eq ""ServerRdsh"")"
"df8edb99-ba84-444e-8885-c5e83f2a2d52","Win - DeviceType - AVD Personal, W365","windows10AndLater","((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"1ec61088-3db8-4d17-ab2c-cfa2f95cff18","Win - DeviceType - AVD Personal, W365, AVD Pooled","windows10AndLater","((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"2133b474-1720-4a17-84b4-b916f2a7b59b","Win - DeviceType - AVD Personal, W365, VM, AVD Pooled","windows10AndLater","((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or (device.model -contains ""Virtual Machine"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"1c85c89b-73e5-4080-8e81-7ab3269527d0","Win - DeviceType - MTR","windows10AndLater","((device.deviceName -startsWith ""MTR-"") and (device.enrollmentProfileName -eq $null)) or (device.enrollmentProfileName -eq ""Win_MTR"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"0337706b-f718-4275-b2a8-c652dff1d8c7","Win - DeviceType - MTR, Surface Hub, HoloLens, AVD Personal, W365, AVD Pooled","windows10AndLater","((device.deviceName -startsWith ""MTR-"") and (device.enrollmentProfileName -eq $null)) or (device.enrollmentProfileName -eq ""Win_MTR"") or (device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or ((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"76c5a004-9f06-4376-9e36-86dc3c01a988","Win - DeviceType - MTR, Surface Hub, HoloLens, AVD Pooled","windows10AndLater","((device.deviceName -startsWith ""MTR-"") and (device.enrollmentProfileName -eq $null)) or (device.enrollmentProfileName -eq ""Win_MTR"") or (device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"75d7fcaa-d064-4f06-a048-c9091cbee88a","Win - DeviceType - Surface Hub, HoloLens, AVD Personal, W365, AVD Pooled","windows10AndLater","(device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or ((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"82366438-12c6-4dfc-a208-30322d3db9c3","Win - DeviceType - Surface Hub, HoloLens, AVD Pooled","windows10AndLater","(device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"a9c3ff41-05da-4366-ac10-f6a676121059","Win - DeviceType - W365Boot, MTR, Surface Hub, HoloLens, AVD Pooled","windows10AndLater","(device.enrollmentProfileName -startsWith ""W365Boot-policy-prefix"") or ((device.deviceName -startsWith ""MTR-"") and (device.enrollmentProfileName -eq $null)) or (device.enrollmentProfileName -eq ""Win_MTR"") or (device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
"7c0eb021-4187-4565-8682-0a711e445d79","Win - EnrollmentProfile - Empty Profile","windows10AndLater","(device.enrollmentProfileName -eq $null)"
